Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
JAPRES07DEL02,39,4.5,Drinks ,motorcycle ,15,7.453
CHENRES010DEL01,30,4.2,Snack ,motorcycle ,37,10.865
PUNERES15DEL02,33,4.9,Meal ,scooter ,27,19.911
KOLRES12DEL02,34,4.5,Meal ,electric_scooter ,23,3.027
JAPRES02DEL02,29,4.6,Buffet ,electric_scooter ,28,19.363
INDORES010DEL01,28,4.9,Drinks ,motorcycle ,12,6.05
CHENRES13DEL01,34,4.7,Drinks ,electric_scooter ,41,10.866
RANCHIRES07DEL02,23,4.7,Drinks ,motorcycle ,18,7.547
JAPRES09DEL02,31,4.2,Buffet ,motorcycle ,33,2.98
PUNERES11DEL01,23,4.7,Snack ,motorcycle ,23,6.129
COIMBRES17DEL03,33,4.2,Meal ,scooter ,41,14.022
PUNERES07DEL01,37,4.8,Snack ,scooter ,20,16.852
HYDRES14DEL02,37,4.7,Drinks ,motorcycle ,18,3.074
MYSRES06DEL01,25,4.9,Buffet ,motorcycle ,17,10.881
VADRES16DEL01,29,5,Drinks ,electric_scooter ,40,11.008
COIMBRES03DEL01,32,4,Buffet ,motorcycle ,40,1.558
LUDHRES12DEL03,31,4.9,Snack ,motorcycle ,22,13.184
MUMRES14DEL02,23,4.6,Snack ,scooter ,36,19.88
MUMRES19DEL02,38,4.2,Drinks ,scooter ,36,12.236
AURGRES16DEL01,35,4.7,Buffet ,motorcycle ,33,6.29
INDORES02DEL01,33,4.8,Snack ,scooter ,24,1.513
BANGRES09DEL01,32,4.1,Buffet ,motorcycle ,32,1.553
VADRES13DEL02,20,3.1,Snack ,motorcycle ,41,12.117
VADRES20DEL01,33,4.4,Meal ,motorcycle ,27,1.515
MUMRES09DEL01,22,4.7,Buffet ,scooter ,23,6.121
COIMBRES010DEL03,28,4.7,Snack ,motorcycle ,24,4.674
MUMRES08DEL02,30,4.9,Snack ,motorcycle ,27,3.06
CHENRES11DEL01,29,4.6,Snack ,electric_scooter ,23,6.209
SURRES04DEL03,25,4.7,Snack ,motorcycle ,25,13.681
SURRES17DEL01,25,4.2,Buffet ,motorcycle ,31,16.723
MYSRES15DEL01,37,4.3,Drinks ,scooter ,36,6.218
JAPRES09DEL02,28,5,Drinks ,motorcycle ,21,2.98
MUMRES18DEL03,20,4.7,Meal ,motorcycle ,15,9.178
AURGRES06DEL01,20,4.8,Meal ,scooter ,33,1.526
INDORES11DEL01,25,4.6,Drinks ,motorcycle ,28,6.05
INDORES16DEL02,28,4.1,Meal ,motorcycle ,36,12.099
MUMRES03DEL03,23,4.7,Buffet ,motorcycle ,25,4.588
INDORES02DEL01,39,4.1,Meal ,motorcycle ,28,1.513
KOLRES16DEL02,20,4.7,Buffet ,scooter ,20,7.568
SURRES04DEL02,24,4.9,Buffet ,motorcycle ,36,12.162
INDORES05DEL02,20,4.8,Buffet ,electric_scooter ,26,12.1
INDORES09DEL03,21,4.7,Buffet ,motorcycle ,29,9.075
RANCHIRES12DEL02,20,4.8,Buffet ,scooter ,18,12.58
INDORES16DEL02,26,4.8,Buffet ,scooter ,22,3.025
HYDRES16DEL03,30,4.9,Buffet ,scooter ,30,4.61
RANCHIRES07DEL01,29,4.6,Meal ,motorcycle ,26,16.601
VADRES17DEL02,24,4.7,Buffet ,motorcycle ,20,3.145
INDORES01DEL03,38,4.5,Buffet ,motorcycle ,17,4.538
CHENRES16DEL01,37,4.8,Drinks ,scooter ,28,17.074
MYSRES13DEL02,38,4.6,Buffet ,motorcycle ,29,7.772
BANGRES010DEL01,23,4.9,Drinks ,motorcycle ,29,10.868
COIMBRES19DEL01,36,4,Meal ,motorcycle ,36,17.137
INDORES07DEL03,35,3.5,Drinks ,motorcycle ,34,13.613
SURRES09DEL01,35,4.6,Snack ,motorcycle ,45,16.721
MYSRES11DEL02,26,4.8,Meal ,motorcycle ,17,7.772
DEHRES010DEL03,22,4.5,Drinks ,scooter ,14,4.406
KNPRES010DEL03,21,4.8,Meal ,motorcycle ,24,8.953
RANCHIRES01DEL02,25,4.9,Snack ,scooter ,28,19.615
VADRES13DEL01,33,4.4,Snack ,scooter ,48,16.66
CHENRES04DEL02,32,4.2,Buffet ,motorcycle ,24,3.105
VADRES18DEL02,38,4.5,Drinks ,motorcycle ,23,7.863
INDORES07DEL02,33,4.7,Meal ,motorcycle ,16,12.1
INDORES17DEL01,39,4.8,Buffet ,motorcycle ,21,16.635
PUNERES17DEL01,33,5,Snack ,motorcycle ,35,6.129
MYSRES010DEL03,20,4.6,Drinks ,motorcycle ,18,13.99
HYDRES20DEL01,29,4.5,Snack ,motorcycle ,39,16.901
SURRES14DEL01,20,5,Buffet ,motorcycle ,24,16.722
ALHRES16DEL02,35,4.6,Snack ,motorcycle ,31,7.49
KOLRES19DEL03,33,4.9,Snack ,electric_scooter ,20,9.081
CHENRES04DEL02,37,4.2,Snack ,motorcycle ,46,12.418
DEHRES13DEL01,26,4.7,Meal ,motorcycle ,22,5.874
INDORES18DEL01,28,5,Buffet ,motorcycle ,19,1.512
SURRES14DEL02,21,4.7,Buffet ,scooter ,26,19.762
GOARES12DEL01,25,4.8,Meal ,scooter ,15,16.983
HYDRES15DEL01,37,4.6,Meal ,electric_scooter ,25,1.537
MUMRES010DEL02,22,4.7,Drinks ,electric_scooter ,21,12.241
MUMRES20DEL02,29,4.6,Snack ,motorcycle ,16,16418.721
INDORES13DEL01,28,4,Drinks ,motorcycle ,34,6.05
VADRES09DEL03,27,4.6,Buffet ,motorcycle ,25,4.718
VADRES16DEL01,36,4.9,Snack ,electric_scooter ,28,1.573
COIMBRES08DEL02,26,5,Meal ,motorcycle ,36,20.254
RANCHIRES08DEL01,32,4.8,Snack ,motorcycle ,43,16.601
RANCHIRES14DEL03,31,4.2,Meal ,electric_scooter ,40,14.153
PUNERES19DEL02,24,4.5,Meal ,motorcycle ,15,3.064
DEHRES11DEL02,37,4.5,Drinks ,motorcycle ,28,3.145
CHENRES14DEL02,21,4.8,Snack ,scooter ,21,3.105
BANGRES17DEL02,22,4.6,Buffet ,scooter ,16,12.42
RANCHIRES14DEL03,34,4.6,Drinks ,scooter ,24,4.718
RANCHIRES02DEL03,32,4.9,Snack ,scooter ,20,14.153
JAPRES06DEL03,25,4.6,Snack ,motorcycle ,25,20.852
RANCHIRES03DEL02,22,4.8,Buffet ,electric_scooter ,11,7.863
VADRES06DEL03,34,4.6,Snack ,motorcycle ,29,13.631
RANCHIRES16DEL01,26,4.9,Buffet ,scooter ,17,6.037
SURRES07DEL03,28,4.5,Snack ,scooter ,28,4.561
PUNERES17DEL02,22,4.8,Drinks ,motorcycle ,20,12.257
MUMRES20DEL03,31,4.6,Meal ,motorcycle ,49,13.767
VADRES11DEL02,36,5,Buffet ,motorcycle ,48,19.689
MUMRES15DEL01,30,5,Buffet ,motorcycle ,27,6.118
MUMRES20DEL01,23,4.8,Snack ,motorcycle ,18,16.826
PUNERES15DEL01,25,4.8,Snack ,motorcycle ,24,1.532
MUMRES18DEL02,29,4.6,Snack ,scooter ,35,12.237
COIMBRES11DEL02,27,4.6,Drinks ,scooter ,23,20.254
MYSRES02DEL03,37,4.1,Drinks ,electric_scooter ,39,13.99
VADRES03DEL03,35,4.6,Buffet ,motorcycle ,28,9.088
VADRES02DEL03,20,4.7,Buffet ,scooter ,29,9.435
DEHRES06DEL03,31,4.7,Buffet ,scooter ,19,4.406
HYDRES01DEL03,33,4.6,Buffet ,motorcycle ,26,4.611
SURRES07DEL03,38,4.8,Snack ,motorcycle ,16,9.121
LUDHRES19DEL01,24,4.7,Meal ,motorcycle ,20,6880.273
COIMBRES03DEL02,33,4.6,Snack ,motorcycle ,30,20.253
JAPRES15DEL02,39,4.4,Drinks ,motorcycle ,34,11.918
BANGRES04DEL02,27,4.5,Buffet ,motorcycle ,15,7.762
KOLRES18DEL01,35,4.4,Snack ,electric_scooter ,39,6.054
MUMRES11DEL03,37,5,Buffet ,motorcycle ,32,4.591
INDORES09DEL03,39,4.1,Drinks ,motorcycle ,31,4.538
BHPRES04DEL03,27,4.8,Snack ,electric_scooter ,29,9.061
VADRES07DEL02,25,4.6,Drinks ,motorcycle ,25,20.443
JAPRES07DEL01,38,4.8,Meal ,motorcycle ,31,5.962
RANCHIRES02DEL02,27,4.9,Buffet ,scooter ,39,12.58
BANGRES17DEL01,21,4.7,Drinks ,electric_scooter ,19,17.077
SURRES12DEL03,27,4.9,Drinks ,motorcycle ,23,9.121
KNPRES11DEL03,27,4.7,Snack ,motorcycle ,20,4.477
PUNERES06DEL01,32,4.6,Buffet ,motorcycle ,24,1.532
JAPRES08DEL02,29,4.6,Buffet ,motorcycle ,20,2.98
RANCHIRES09DEL03,22,4.7,Meal ,scooter ,16,13.583
AURGRES19DEL02,26,4.8,Drinks ,motorcycle ,16,19.84
VADRES11DEL01,31,4.9,Snack ,scooter ,19,10.603
HYDRES09DEL01,37,4.8,Buffet ,scooter ,24,10.757
JAPRES18DEL01,29,4.7,Meal ,scooter ,33,1.49
MYSRES07DEL02,36,3.8,Meal ,motorcycle ,35,20.206
VADRES15DEL02,23,4.9,Meal ,scooter ,23,20.443
VADRES12DEL01,35,4.4,Snack ,motorcycle ,31,17.298
INDORES03DEL01,33,4.5,Buffet ,scooter ,27,6.05
COIMBRES19DEL02,27,4.7,Meal ,motorcycle ,47,12.464
HYDRES05DEL01,35,4.5,Meal ,electric_scooter ,19,6.147
JAPRES09DEL02,39,5,Buffet ,motorcycle ,17,19.363
INDORES16DEL01,33,4,Meal ,motorcycle ,31,6.05
CHENRES05DEL01,26,4.9,Buffet ,motorcycle ,30,6.209
AURGRES18DEL03,24,4.7,Meal ,motorcycle ,21,13.735
GOARES11DEL03,28,4.9,Buffet ,scooter ,27,13.895
JAPRES17DEL02,21,4.1,Drinks ,motorcycle ,26,2.98
INDORES03DEL02,31,5,Snack ,motorcycle ,32,12.099
CHENRES13DEL02,21,4.1,Snack ,motorcycle ,33,12.418
HYDRES19DEL01,38,4.1,Drinks ,motorcycle ,42,16.902
CHENRES20DEL03,29,4.6,Drinks ,motorcycle ,32,13.972
DEHRES03DEL03,30,4.1,Buffet ,scooter ,49,20.557
PUNERES09DEL01,31,4.6,Drinks ,motorcycle ,34,6.129
HYDRES06DEL02,30,4.9,Drinks ,scooter ,25,7.683
PUNERES20DEL02,33,5,Snack ,scooter ,29,7.66
MUMRES17DEL02,38,4.5,Drinks ,motorcycle ,22,3.059
MUMRES03DEL03,24,4.7,Meal ,motorcycle ,23,9.175
RANCHIRES13DEL03,24,3.5,Snack ,motorcycle ,51,4.528
CHENRES19DEL03,34,4.7,Buffet ,motorcycle ,30,9.315
KOLRES15DEL03,27,4.8,Snack ,scooter ,22,4.541
KOCRES08DEL02,39,4.8,Buffet ,motorcycle ,34,3.121
CHENRES09DEL02,23,4.1,Meal ,motorcycle ,22,3.105
JAPRES19DEL01,34,4.6,Meal ,motorcycle ,27,5.959
INDORES02DEL01,20,4.7,Snack ,electric_scooter ,10,6.052
ALHRES03DEL03,36,5,Buffet ,electric_scooter ,30,20.969
JAPRES04DEL03,27,4,Buffet ,scooter ,32,13.407
SURRES15DEL01,32,4.1,Meal ,electric_scooter ,32,10.642
KOLRES03DEL03,29,4.6,Buffet ,motorcycle ,18,5012.993
BANGRES12DEL01,27,4.9,Drinks ,motorcycle ,26,17.078
COIMBRES14DEL03,29,4.6,Snack ,motorcycle ,21,14.022
CHENRES03DEL01,29,2.5,Snack ,motorcycle ,35,17.073
VADRES17DEL02,29,4.6,Drinks ,electric_scooter ,19,3.145
MYSRES12DEL02,27,5,Snack ,motorcycle ,25,3.109
JAPRES16DEL01,32,5,Buffet ,motorcycle ,28,1.49
INDORES05DEL03,21,4.8,Drinks ,motorcycle ,27,4.538
BANGRES18DEL03,29,4.6,Meal ,motorcycle ,28,9.316
MYSRES09DEL01,22,5,Snack ,electric_scooter ,21,10.881
AURGRES05DEL03,29,4.6,Meal ,motorcycle ,32,13.736
BANGRES11DEL02,39,5,Buffet ,scooter ,33,3.105
SURRES18DEL02,20,4.1,Buffet ,scooter ,32,19.762
PUNERES04DEL02,29,4.6,Meal ,scooter ,22,3.065
INDORES13DEL01,35,4.2,Meal ,scooter ,35,16.636
GOARES02DEL03,30,4.2,Drinks ,motorcycle ,32,4.632
MUMRES17DEL01,39,5,Buffet ,motorcycle ,25,6.119
COIMBRES03DEL03,36,4.9,Meal ,scooter ,21,4.674
INDORES09DEL03,22,4.6,Drinks ,motorcycle ,10,4.538
RANCHIRES18DEL01,27,5,Drinks ,motorcycle ,16,16.601
CHENRES11DEL01,21,4.6,Drinks ,scooter ,11,1.552
VADRES09DEL01,26,4.9,Meal ,electric_scooter ,18,1.573
KNPRES07DEL03,33,4.7,Drinks ,scooter ,13,4.477
SURRES14DEL01,33,4.5,Meal ,scooter ,23,16.722
SURRES16DEL03,34,4.8,Drinks ,scooter ,18,13.682
HYDRES20DEL03,22,4.9,Buffet ,scooter ,16,13.828
CHENRES01DEL03,36,4.1,Buffet ,scooter ,36,13.971
CHENRES05DEL01,21,4.6,Snack ,scooter ,19,17.074
COIMBRES01DEL01,24,4.9,Snack ,motorcycle ,16,17.138
SURRES12DEL03,31,3.9,Meal ,scooter ,31,13.681
CHENRES08DEL03,31,4.5,Drinks ,motorcycle ,28,9.314
KOCRES17DEL01,35,4.9,Drinks ,scooter ,19,6.243
RANCHIRES18DEL01,23,4.9,Snack ,motorcycle ,20,6.038
VADRES010DEL02,25,4.7,Snack ,motorcycle ,24,7.573
CHENRES010DEL03,28,4.8,Drinks ,motorcycle ,35,13.97
AURGRES09DEL03,38,4.4,Meal ,motorcycle ,33,9.158
BANGRES04DEL01,29,4.7,Snack ,motorcycle ,26,17.076
BHPRES02DEL01,38,4.6,Snack ,scooter ,25,1.573
MYSRES010DEL02,39,5,Snack ,scooter ,27,12.435
INDORES15DEL03,32,5,Drinks ,scooter ,16,4.537
BANGRES04DEL03,32,4.9,Snack ,electric_scooter ,15,9.315
ALHRES01DEL01,27,4.5,Buffet ,motorcycle ,22,1.498
JAPRES12DEL03,23,4.5,Snack ,motorcycle ,24,20.852
HYDRES02DEL03,25,4.8,Buffet ,motorcycle ,12,9.221
MUMRES15DEL02,34,4.3,Meal ,scooter ,31,7.647
KNPRES05DEL02,30,4.6,Snack ,motorcycle ,25,19.395
RANCHIRES19DEL01,23,4.8,Drinks ,electric_scooter ,16,1.51
INDORES03DEL01,21,4.9,Buffet ,scooter ,19,1.513
COIMBRES010DEL01,26,4.5,Snack ,motorcycle ,11,6.232
RANCHIRES07DEL01,35,4.6,Meal ,scooter ,27,1.509
RANCHIRES11DEL01,23,5,Meal ,electric_scooter ,21,10.565
SURRES19DEL01,27,4.2,Meal ,motorcycle ,33,16.723
INDORES06DEL03,33,4.6,Drinks ,motorcycle ,35,13.612
RANCHIRES09DEL03,35,4.8,Meal ,scooter ,26,9.056
COIMBRES03DEL02,30,4.8,Snack ,scooter ,24,3.116
KOCRES13DEL03,38,4.7,Buffet ,motorcycle ,30,9.363
MUMRES010DEL02,28,4.6,Snack ,motorcycle ,18,12.241
INDORES15DEL03,20,4.8,Buffet ,motorcycle ,18,9.074
GOARES09DEL02,39,4.9,Snack ,scooter ,24,7.724
JAPRES16DEL01,25,4.7,Drinks ,motorcycle ,12,1.49
BANGRES18DEL02,28,4.8,Buffet ,electric_scooter ,21,7.764
SURRES13DEL01,21,4.7,Snack ,motorcycle ,22,16.721
JAPRES09DEL03,32,4.5,Buffet ,motorcycle ,43,20.852
INDORES08DEL03,34,4.7,Meal ,motorcycle ,48,9.075
HYDRES20DEL01,29,4.6,Buffet ,motorcycle ,26,10.756
SURRES03DEL02,33,3.7,Meal ,motorcycle ,37,12.161
MYSRES15DEL03,33,4.8,Buffet ,scooter ,23,13.989
BANGRES01DEL02,24,5,Snack ,motorcycle ,24,12.421
BANGRES20DEL02,25,4.9,Meal ,scooter ,18,3.105
PUNERES04DEL01,25,4.6,Meal ,scooter ,23,6.129
KOCRES12DEL03,27,4.6,Meal ,scooter ,12,2228.019
JAPRES12DEL02,22,5,Meal ,scooter ,12,19.363
AURGRES01DEL01,26,4.6,Snack ,motorcycle ,21,16.788
PUNERES18DEL03,25,4.5,Buffet ,motorcycle ,30,4.596
COIMBRES02DEL01,32,4.1,Buffet ,motorcycle ,22,1.558
HYDRES05DEL02,23,4.5,Drinks ,motorcycle ,40,12.293
CHENRES09DEL01,28,5,Buffet ,scooter ,17,17.074
HYDRES13DEL02,29,4.6,Snack ,scooter ,15,12.294
VADRES02DEL01,25,5,Drinks ,motorcycle ,30,17.298
MYSRES12DEL01,27,4.7,Snack ,scooter ,13,6.218
SURRES010DEL03,22,4.6,Meal ,motorcycle ,28,13.682
MUMRES03DEL03,21,4.7,Buffet ,motorcycle ,16,4.588
VADRES17DEL03,21,4.9,Snack ,motorcycle ,39,14.153
HYDRES010DEL03,22,4.6,Drinks ,motorcycle ,29,4.61
HYDRES02DEL01,37,4.6,Meal ,scooter ,19,1.537
GOARES11DEL03,25,4.2,Drinks ,motorcycle ,46,9.264
VADRES04DEL02,22,4,Buffet ,motorcycle ,15,7.863
CHENRES07DEL02,34,4.7,Meal ,motorcycle ,44,12.417
KNPRES13DEL02,24,4.5,Snack ,scooter ,29,11.937
BANGRES15DEL02,34,4.2,Meal ,scooter ,34,20.181
MUMRES19DEL01,33,4.7,Snack ,motorcycle ,26,6.118
RANCHIRES01DEL01,22,4.8,Drinks ,scooter ,28,10.563
JAPRES08DEL02,30,4.9,Meal ,scooter ,15,2.98
BANGRES08DEL02,25,4.1,Drinks ,motorcycle ,18,3.106
MYSRES19DEL02,25,4.9,Snack ,motorcycle ,10,7.772
MYSRES18DEL01,27,4.8,Buffet ,scooter ,14,6.218
HYDRES07DEL01,34,3.9,Drinks ,motorcycle ,36,10.757
VADRES17DEL03,39,4.6,Buffet ,motorcycle ,16,4.718
ALHRES06DEL01,29,5,Snack ,motorcycle ,28,11.008
KOLRES18DEL02,34,4.7,Buffet ,motorcycle ,27,3.027
KOCRES15DEL01,26,4.9,Snack ,motorcycle ,24,17.165
INDORES02DEL01,35,4.4,Snack ,motorcycle ,32,6.052
COIMBRES06DEL02,37,4.8,Snack ,motorcycle ,27,12.464
MUMRES02DEL01,28,4.8,Drinks ,scooter ,28,16.82
CHENRES05DEL03,31,4.7,Buffet ,scooter ,28,4.657
BANGRES19DEL02,31,4,Meal ,motorcycle ,30,3.105
CHENRES14DEL01,34,4,Meal ,motorcycle ,31,6.209
BHPRES01DEL03,36,4.8,Meal ,scooter ,28,5165.345
INDORES16DEL02,31,4.7,Snack ,motorcycle ,25,7.563
VADRES04DEL01,21,4.9,Snack ,motorcycle ,22,17.298
RANCHIRES03DEL03,32,4.5,Meal ,motorcycle ,20,9.435
BANGRES13DEL01,26,4.7,Snack ,motorcycle ,48,17.078
GOARES12DEL01,29,4.6,Meal ,bicycle ,29,6.176
LUDHRES02DEL01,33,4.9,Buffet ,motorcycle ,21,6.29
INDORES16DEL02,39,4.4,Snack ,motorcycle ,41,12.099
MYSRES11DEL03,35,4.9,Drinks ,motorcycle ,46,13.99
JAPRES03DEL03,30,4.9,Drinks ,motorcycle ,44,13.406
GOARES16DEL01,22,4.9,Meal ,scooter ,17,1.544
MYSRES07DEL02,24,4.4,Drinks ,motorcycle ,26,3.109
SURRES13DEL03,39,4.6,Snack ,electric_scooter ,29,13.682
COIMBRES03DEL01,22,4.6,Drinks ,motorcycle ,20,10.906
CHENRES04DEL01,37,4.4,Buffet ,motorcycle ,39,10.866
HYDRES17DEL01,37,4.4,Buffet ,motorcycle ,38,1.537
BANGRES03DEL03,32,4.7,Snack ,scooter ,22,13.972
HYDRES09DEL03,39,4.7,Buffet ,motorcycle ,21,13.83
COIMBRES07DEL01,21,4.3,Buffet ,electric_scooter ,32,17.139
BANGRES01DEL02,38,5,Buffet ,motorcycle ,29,3.105
PUNERES07DEL02,33,4.3,Drinks ,scooter ,40,19.916
GOARES010DEL01,34,4.7,Meal ,motorcycle ,32,6.176
PUNERES01DEL02,29,2.5,Meal ,scooter ,44,19.914
HYDRES16DEL03,37,4.3,Meal ,motorcycle ,35,13.83
SURRES05DEL01,20,4.9,Buffet ,motorcycle ,30,16.721
MUMRES12DEL01,20,5,Drinks ,motorcycle ,29,6.117
MUMRES01DEL03,37,4.7,Buffet ,scooter ,16,9.178
PUNERES20DEL01,22,5,Drinks ,scooter ,17,1.532
VADRES07DEL03,26,4.6,Meal ,scooter ,12,9.435
LUDHRES12DEL03,26,4.6,Meal ,motorcycle ,29,13.184
GOARES15DEL01,32,4.4,Buffet ,motorcycle ,43,10.808
JAPRES09DEL02,23,4.6,Meal ,scooter ,19,19.363
MUMRES02DEL02,23,4.6,Meal ,electric_scooter ,10,3.059
LUDHRES14DEL03,26,4.4,Snack ,scooter ,31,13.184
MYSRES04DEL02,27,4.5,Buffet ,scooter ,25,12.436
COIMBRES07DEL02,33,4.4,Snack ,motorcycle ,38,12.465
BANGRES07DEL03,29,4.6,Snack ,scooter ,17,9.315
RANCHIRES11DEL01,39,4,Buffet ,motorcycle ,21,1.509
HYDRES15DEL02,29,4.5,Meal ,motorcycle ,30,12.293
MUMRES18DEL01,20,4.6,Meal ,motorcycle ,16,1.53
VADRES13DEL02,25,4.8,Snack ,motorcycle ,11,19.688
MUMRES02DEL01,20,5,Buffet ,electric_scooter ,22,6.117
JAPRES02DEL03,23,4.8,Drinks ,motorcycle ,11,8.938
JAPRES12DEL02,24,4.6,Buffet ,motorcycle ,15,2.98
MYSRES11DEL03,25,4.8,Meal ,motorcycle ,15,4.663
KOLRES14DEL03,37,4.8,Snack ,motorcycle ,26,9.081
MUMRES12DEL01,39,4,Meal ,motorcycle ,38,16.821
SURRES20DEL01,33,4.6,Drinks ,motorcycle ,29,6.082
COIMBRES05DEL01,25,4.6,Drinks ,scooter ,14,1.558
BANGRES06DEL02,32,4.8,Meal ,scooter ,19,3.105
RANCHIRES01DEL02,37,4.8,Buffet ,motorcycle ,10,3.018
KOLRES12DEL02,31,4.5,Buffet ,scooter ,16,3.027
COIMBRES08DEL03,32,4.9,Snack ,scooter ,31,9.348
KOCRES11DEL01,29,5,Drinks ,scooter ,17,1.561
GOARES13DEL02,30,4.9,Snack ,scooter ,13,7.72
SURRES19DEL01,26,4.7,Drinks ,scooter ,24,10.642
SURRES05DEL03,20,4.9,Meal ,electric_scooter ,10,9.121
HYDRES17DEL01,29,4.7,Snack ,motorcycle ,14,1.537
KOLRES04DEL03,28,4.7,Buffet ,motorcycle ,14,4.541
HYDRES16DEL02,30,4.9,Drinks ,motorcycle ,20,3.074
HYDRES20DEL01,30,4.7,Drinks ,scooter ,21,6.146
HYDRES15DEL03,28,4,Buffet ,motorcycle ,20,9.22
JAPRES13DEL02,29,4.6,Meal ,scooter ,25,19.368
JAPRES09DEL03,29,4.8,Meal ,scooter ,26,13.406
HYDRES06DEL02,25,4.9,Buffet ,scooter ,25,19.974
MYSRES08DEL01,24,4.7,Drinks ,scooter ,32,1.555
CHENRES14DEL03,33,4.7,Meal ,motorcycle ,29,13.971
LUDHRES03DEL03,39,4.8,Meal ,motorcycle ,20,8.79
JAPRES11DEL03,21,4.5,Buffet ,scooter ,11,13.406
SURRES20DEL02,24,4.6,Snack ,scooter ,13,3.041
SURRES12DEL03,29,4.6,Meal ,motorcycle ,24,13.681
PUNERES20DEL01,35,4.7,Meal ,motorcycle ,21,10.723
JAPRES16DEL02,39,4.6,Meal ,scooter ,27,19.367
BANGRES18DEL01,22,4.6,Buffet ,motorcycle ,24,6.211
CHENRES14DEL02,33,4.3,Snack ,electric_scooter ,37,7.762
SURRES13DEL01,29,4.4,Buffet ,motorcycle ,43,6.081
PUNERES11DEL02,29,4.6,Meal ,motorcycle ,18,19.916
COIMBRES06DEL01,22,4.7,Meal ,motorcycle ,14,6.232
MYSRES17DEL01,22,4.7,Meal ,electric_scooter ,20,6.218
AGRRES12DEL02,24,4.8,Drinks ,motorcycle ,47,19.343
DEHRES13DEL03,21,4.4,Buffet ,motorcycle ,34,13.215
SURRES010DEL02,29,4.6,Buffet ,motorcycle ,33,19.761
COIMBRES20DEL03,20,4.7,Snack ,scooter ,12,14.022
SURRES11DEL03,35,4.9,Drinks ,motorcycle ,22,13.682
MYSRES04DEL02,33,4.1,Meal ,motorcycle ,34,3.109
MYSRES05DEL01,36,4.6,Meal ,motorcycle ,29,6.218
RANCHIRES010DEL02,31,5,Meal ,motorcycle ,46,19.619
CHENRES14DEL02,37,4.7,Snack ,motorcycle ,30,7.762
SURRES04DEL03,36,4.9,Meal ,scooter ,16,9.121
VADRES02DEL02,24,4.8,Buffet ,motorcycle ,19,3.145
VADRES010DEL02,27,4.6,Drinks ,motorcycle ,30,12.117
MYSRES04DEL02,30,5,Drinks ,scooter ,32,3.109
CHENRES15DEL01,21,4.6,Buffet ,motorcycle ,25,17.075
COIMBRES01DEL03,23,4.9,Meal ,motorcycle ,37,14.022
JAPRES08DEL01,29,4.2,Buffet ,motorcycle ,31,1.49
VADRES12DEL03,22,4.9,Buffet ,electric_scooter ,22,9.435
RANCHIRES16DEL02,38,4.6,Snack ,scooter ,22,19.618
COIMBRES20DEL03,29,4.5,Drinks ,motorcycle ,27,9.349
INDORES05DEL02,25,4.1,Drinks ,motorcycle ,28,3.025
SURRES09DEL02,39,3.5,Drinks ,motorcycle ,38,12.161
INDORES09DEL03,30,4.8,Buffet ,scooter ,28,4.538
HYDRES13DEL01,39,5,Drinks ,scooter ,15,1.537
JAPRES18DEL01,25,4.9,Buffet ,motorcycle ,28,5.959
COIMBRES03DEL02,23,4.9,Snack ,scooter ,21,7.79
HYDRES02DEL01,31,4.7,Drinks ,motorcycle ,39,10.757
CHENRES11DEL03,32,4.7,Meal ,electric_scooter ,27,9.313
AURGRES15DEL02,32,4.5,Buffet ,motorcycle ,20,7.631
BANGRES16DEL02,29,4.8,Meal ,scooter ,27,12.418
HYDRES02DEL02,34,5,Drinks ,motorcycle ,25,7.684
INDORES010DEL03,15,1,Snack ,scooter ,29,9.075
JAPRES19DEL02,36,4.6,Drinks ,motorcycle ,37,11.917
MYSRES01DEL03,37,4.9,Drinks ,motorcycle ,19,4.664
LUDHRES16DEL01,30,4.8,Meal ,scooter ,19,6883.157
JAPRES12DEL03,22,4.7,Buffet ,scooter ,15,20.852
BANGRES11DEL02,27,4.7,Buffet ,scooter ,13,7.763
DEHRES09DEL03,27,4.3,Drinks ,motorcycle ,16,8.812
CHENRES02DEL03,26,4.5,Snack ,scooter ,28,9.313
SURRES18DEL02,23,4.5,Buffet ,scooter ,19,12.162
MUMRES06DEL01,24,4.6,Drinks ,motorcycle ,13,6.12
MUMRES01DEL01,31,4.1,Snack ,electric_scooter ,43,16.825
PUNERES14DEL03,28,4.6,Buffet ,motorcycle ,12,4.597
SURRES010DEL03,27,4.9,Buffet ,motorcycle ,18,9.121
MYSRES16DEL03,31,4.7,Buffet ,scooter ,29,9.327
KOCRES19DEL02,27,5,Meal ,motorcycle ,27,7.803
SURRES05DEL01,28,4.1,Drinks ,scooter ,34,16.721
CHENRES12DEL02,28,4.7,Drinks ,electric_scooter ,14,20.181
VADRES06DEL02,37,4.6,Meal ,electric_scooter ,15,3.03
PUNERES15DEL03,34,4.8,Snack ,electric_scooter ,33,4.595
DEHRES15DEL01,32,4.7,Drinks ,motorcycle ,25,11.008
HYDRES12DEL02,27,4.9,Buffet ,scooter ,19,7.684
INDORES20DEL02,28,4.8,Drinks ,electric_scooter ,16,3.025
SURRES03DEL01,34,4.2,Meal ,motorcycle ,34,1.52
RANCHIRES20DEL01,23,4.7,Buffet ,motorcycle ,29,10.564
